FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITD3,Veneto,9,Totale,Y15-34,15-34 anni,2018,487.331,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-34,15-34 anni,2019,495.921,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-34,15-34 anni,2020,465.589,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-34,15-34 anni,2021,479.369,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-34,15-34 anni,2022,516.843,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-34,15-34 anni,2023,532.463,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-34,15-34 anni,2024,515.954,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-34,15-34 anni,2025,514.461,,
A,Annuale,ITD3,Veneto,9,Totale,Y35-49,35-49 anni,2018,885.086,,
A,Annuale,ITD3,Veneto,9,Totale,Y35-49,35-49 anni,2019,870.725,,
A,Annuale,ITD3,Veneto,9,Totale,Y35-49,35-49 anni,2020,833.823,,
A,Annuale,ITD3,Veneto,9,Totale,Y35-49,35-49 anni,2021,818.469,,
A,Annuale,ITD3,Veneto,9,Totale,Y35-49,35-49 anni,2022,811.841,,
A,Annuale,ITD3,Veneto,9,Totale,Y35-49,35-49 anni,2023,810.675,,
A,Annuale,ITD3,Veneto,9,Totale,Y35-49,35-49 anni,2024,812.152,,
A,Annuale,ITD3,Veneto,9,Totale,Y35-49,35-49 anni,2025,770.498,,
A,Annuale,ITD3,Veneto,9,Totale,Y50-64,50-64 anni,2018,693.917,,
A,Annuale,ITD3,Veneto,9,Totale,Y50-64,50-64 anni,2019,727.658,,
A,Annuale,ITD3,Veneto,9,Totale,Y50-64,50-64 anni,2020,716.055,,
A,Annuale,ITD3,Veneto,9,Totale,Y50-64,50-64 anni,2021,723.749,,
A,Annuale,ITD3,Veneto,9,Totale,Y50-64,50-64 anni,2022,755.33,,
A,Annuale,ITD3,Veneto,9,Totale,Y50-64,50-64 anni,2023,812.162,,
A,Annuale,ITD3,Veneto,9,Totale,Y50-64,50-64 anni,2024,824.442,,
A,Annuale,ITD3,Veneto,9,Totale,Y50-64,50-64 anni,2025,837.428,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-64,15-64 anni,2018,2066.335,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-64,15-64 anni,2019,2094.304,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-64,15-64 anni,2020,2015.466,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-64,15-64 anni,2021,2021.587,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-64,15-64 anni,2022,2084.014,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-64,15-64 anni,2023,2155.3,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-64,15-64 anni,2024,2152.548,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-64,15-64 anni,2025,2122.387,,
